Species,WtSpMean,WtSpN,WtSpSE,WingSpMean,WingSpN,WingSpSE,ECulmSpMean,ECulmSpN,ECulmSpSE,TarSpMean,TarSpN,TarSpSE, HClawSpMean, HClawSpN,HClawSpSE
Chlorostilbon_canivetii,1.001338261,4,0.027410595,3.815101647,4,0.016534538,2.642542817,4,0.035482427,1.401067871,4,0.050308165,0.569239886,4,0.056059304
Chlorostilbon_gibsoni,1.03961149,3,0.043173842,3.777149046,3,0.031098411,2.681099601,3,0.047274164,1.417647494,3,0.098788319,0.711309909,3,0.12323999
Chlorostilbon_lucidus,1.126697424,2,0.097078007,3.875809768,4,0.019767644,2.792922192,4,0.062813071,1.602185569,2,0.120581028,0.777858286,4,0.08362826
Chlorostilbon_mellisugus,1.045932031,2,0.052680258,3.791555821,7,0.021238556,2.710280517,7,0.033749626,1.427632223,3,0.087664531,0.848039783,7,0.053820857
Chrysolampis_mosquitus,1.435084525,1,0.068264421,3.962204561,4,0.031113212,2.524975896,4,0.022289084,1.501974757,3,0.045650182,0.839659442,4,0.052643549
Chrysuronia_oenone,1.636682005,2,0.068066087,3.952299857,5,0.020879578,2.995488883,5,0.040238323,1.808154381,2,0.016394911,0.869961475,5,0.052348338
Coeligena_coeligena,1.911595896,2,0.103307125,4.250979917,4,0.034641216,3.348106166,4,0.034717477,1.622378123,3,0.017493859,1.230805959,4,0.014065444
Coeligena_helianthea,1.877850279,52,0.009977958,4.263656572,53,0.004304935,3.38254622,53,0.00850794,1.849400295,53,0.013204331,1.199746529,53,0.012255665
Coeligena_iris,1.892981062,3,0.094323198,4.303856863,3,0.033390442,3.356402352,3,0.062704213,1.659902874,3,0.03874418,1.141985011,3,0.010582899
Coeligena_lutetiae,2.102942968,2,0.048819235,4.321259284,5,0.015588101,3.478803225,5,0.01726413,2.111588717,2,0.096685696,0.999026022,5,0.126288457
Coeligena_phalerata,1.801660783,2,0.115261829,4.222233824,2,0.020530743,3.36136303,2,0.091794091,1.823377264,2,0.048424913,1.216806678,2,0.118194389
Coeligena_torquata,1.967533172,12,0.023737713,4.29697786,16,0.024829521,3.510428282,16,0.014099118,1.715792957,14,0.022052748,1.20919003,16,0.031901134
Coeligena_violifer,2.018887105,2,0.072976956,4.343001943,2,0.053913304,3.592693508,2,0.031647425,1.650504327,2,0.124448024,1.277449511,2,0.083527042
Colibri_coruscans,1.946468567,13,0.023414096,4.277812616,18,0.019211775,3.111122559,18,0.015492942,1.806472856,14,0.034110357,1.049262262,18,0.031065707
Colibri_delphinae,1.820893923,2,0.153187103,4.197328511,4,0.033826574,2.792207382,4,0.048626506,1.858962685,3,0.050732968,1.036219017,4,0.038978088
Colibri_thalassinus,1.648165164,3,0.022218109,4.163628248,9,0.012451049,3.009470101,9,0.031068778,1.747425325,3,0.069153201,1.062314654,6,0.087901082
Cynanthus_latirostris,1.193463121,2,0.030312311,3.972717886,5,0.017140588,3.04338021,5,0.009747819,1.492840969,2,0.011236428,0.82746784,3,0.138616568
Cynanthus_sordidus,1.329429978,2,0.105654547,3.971220322,3,0.03955805,3.005649926,3,0.005716549,1.704748092,2,0,0.927224114,3,0.048399625
Discosura_conversii,1.098612289,1,0.068264421,3.676853676,6,0.036043197,2.351615914,6,0.042133887,1.547562509,1,0.062416183,1.012559971,6,0.044470487
Discosura_langsdorfii,0.909038389,2,0.120581028,3.536592484,2,0.00436684,2.446226089,2,0.030312311,1.647918433,2,0.038480521,1.064710737,2,0
Doricha_enicura,0.875468737,1,0.068264421,3.58617182,3,0.03238141,2.970465036,3,0.040945617,1.360976553,1,0.062416183,0.713355388,3,0.111788738
Doryfera_johannae,1.331874971,2,0.079112003,3.996600177,10,0.017794691,3.337086557,10,0.016154309,1.703987897,3,0.027470186,0.996845691,4,0.060629471
Doryfera_ludovicae,1.739490991,3,0.081493991,4.077465629,36,0.008638987,3.534679261,36,0.009543517,1.531032535,3,0.098667486,1.107762226,6,0.055140961
Elvira_chionura,,,,3.830422248,2,0.071550422,2.694604353,2,0.00675686,1.648658626,1,0.062416183,0.93126427,2,0.098355147
Elvira_cupreiceps,1.16315081,1,0.068264421,3.825992845,4,0.032456869,2.672323726,4,0.00812334,1.373635457,2,0.012658904,0.993251773,4,0
Ensifera_ensifera,2.412023109,3,0.030323926,4.330696355,16,0.007008815,4.475579196,16,0.026622379,1.950504196,3,0.012498789,1.353761915,7,0.033952465
Eriocnemis_alinae,1.252762968,1,0.068264421,3.868002593,4,0.019759213,2.814687698,4,0.037973683,1.806134176,2,0.065668001,1.020355354,4,0.108407657
